YEAR,% DIV 9,% X,FEMALE CANDIDATES,FEMALE % DIV1 ,FEMALE % DIV2,FEMALE % DIV3,FEMALE % DIV4,FEMALE % DIV7,FEMALE % DIV9
2014,0.0,0.9,54,13.0,44.4,37.0,3.7,0.0,0.0
2014,0.0,0.0,128,24.2,34.4,18.0,23.4,0.0,0.0
2014,0.0,1.6,23,8.7,17.4,43.5,30.4,0.0,0.0
2014,0.0,0.9,102,20.6,30.4,28.4,19.6,0.0,0.0
2014,0.0,0.0,29,24.1,34.5,20.7,20.7,0.0,0.0
2014,0.0,0.0,54,24.1,44.4,25.9,5.6,0.0,0.0
2014,0.0,0.0,88,22.7,40.9,21.6,14.8,0.0,0.0
2014,0.0,0.0,70,11.4,37.1,37.1,14.3,0.0,0.0
2014,0.0,0.0,188,23.9,43.6,26.6,5.9,0.0,0.0
2014,0.0,0.0,28,21.4,32.1,35.7,10.7,0.0,0.0
2014,0.0,0.0,38,7.9,50.0,36.8,5.3,0.0,0.0
2014,0.4,2.2,149,11.4,34.9,22.8,28.2,0.0,0.7
2014,0.0,0.0,9,22.2,22.2,22.2,33.3,0.0,0.0
2014,0.0,0.0,92,18.5,46.7,22.8,12.0,0.0,0.0
2014,0.0,0.0,35,22.9,34.3,34.3,5.7,2.9,0.0
2014,3.2,0.0,53,15.1,30.2,26.4,22.6,0.0,5.7
2014,0.0,0.0,43,14.0,72.1,14.0,0.0,0.0,0.0
2014,1.2,0.0,31,19.4,54.8,22.6,3.2,0.0,0.0
2014,0.0,0.0,50,16.0,48.0,36.0,0.0,0.0,0.0
2014,0.0,0.7,145,18.6,39.3,33.1,7.6,0.0,0.0
2014,0.0,0.0,57,14.0,45.6,31.6,8.8,0.0,0.0
2014,0.0,0.9,58,10.3,41.4,31.0,15.5,0.0,0.0
2014,0.0,1.4,81,16.0,38.3,28.4,16.0,0.0,0.0
2014,0.0,0.0,35,8.6,34.3,20.0,37.1,0.0,0.0
2014,0.0,0.0,34,8.8,29.4,26.5,29.4,5.9,0.0
2014,0.0,0.0,38,26.3,28.9,21.1,23.7,0.0,0.0
2014,0.0,0.0,142,21.8,56.3,20.4,1.4,0.0,0.0
2014,0.0,0.0,197,21.8,56.3,18.3,3.6,0.0,0.0
2014,0.0,2.3,133,21.8,48.9,19.5,7.5,0.0,0.0
2014,0.0,0.0,78,15.4,34.6,30.8,19.2,0.0,0.0
2014,0.0,0.0,40,20.0,30.0,25.0,25.0,0.0,0.0
2014,0.0,2.0,65,15.4,30.8,21.5,30.8,0.0,0.0
2014,0.0,0.4,123,19.5,38.2,25.2,17.1,0.0,0.0
2014,0.0,0.9,36,13.9,19.4,25.0,38.9,0.0,0.0
2014,0.0,0.8,66,13.6,34.8,30.3,21.2,0.0,0.0
2014,0.0,1.3,45,4.4,46.7,28.9,17.8,0.0,0.0
2014,0.0,0.7,74,16.2,45.9,20.3,17.6,0.0,0.0
2014,1.8,2.8,109,21.1,38.5,17.4,17.4,0.9,1.8
2014,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,0.0,94,17.0,29.8,36.2,17.0,0.0,0.0
2014,1.2,0.0,37,13.5,16.2,32.4,35.1,0.0,2.7
2014,1.5,1.5,68,20.6,23.5,22.1,30.9,0.0,1.5
2014,0.0,0.0,55,16.4,52.7,23.6,7.3,0.0,0.0
2014,0.0,0.6,78,14.1,19.2,35.9,29.5,0.0,0.0
2014,0.0,0.0,136,14.7,38.2,33.1,14.0,0.0,0.0
2014,0.0,0.9,107,14.0,43.0,30.8,11.2,0.0,0.0
2014,0.0,0.0,19,15.8,36.8,26.3,21.1,0.0,0.0
2014,0.0,0.0,17,0.0,17.6,17.6,64.7,0.0,0.0
2014,0.0,2.2,24,16.7,20.8,25.0,33.3,0.0,0.0
2014,0.0,0.0,10,30.0,20.0,40.0,10.0,0.0,0.0
2014,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,0.5,94,13.8,52.1,26.6,5.3,1.1,0.0
2014,0.0,0.0,122,19.7,41.0,32.8,5.7,0.8,0.0
2014,0.0,0.7,91,19.8,27.5,26.4,26.4,0.0,0.0
2014,7.8,7.8,16,6.3,18.8,31.3,31.3,0.0,12.5
2014,0.0,3.3,37,13.5,37.8,16.2,27.0,0.0,0.0
2014,0.0,0.0,50,12.0,24.0,46.0,18.0,0.0,0.0
2014,0.0,0.0,36,16.7,52.8,25.0,5.6,0.0,0.0
2014,0.0,0.9,28,7.1,17.9,39.3,35.7,0.0,0.0
2014,0.0,0.7,74,9.5,40.5,33.8,14.9,1.4,0.0
2014,0.0,0.0,23,13.0,56.5,30.4,0.0,0.0,0.0
2014,0.0,0.0,137,10.9,38.7,36.5,13.9,0.0,0.0
2014,0.0,0.0,39,12.8,38.5,20.5,28.2,0.0,0.0
2014,0.0,0.0,63,19.0,31.7,39.7,9.5,0.0,0.0
2014,0.0,0.0,13,0.0,46.2,15.4,38.5,0.0,0.0
2014,0.0,0.0,22,13.6,4.5,40.9,40.9,0.0,0.0
2014,2.5,0.0,82,17.1,58.5,8.5,12.2,1.2,2.4
2014,0.0,3.1,14,14.3,28.6,42.9,7.1,0.0,0.0
2014,0.0,0.0,80,18.8,55.0,23.8,2.5,0.0,0.0
2014,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,0.0,5,0.0,80.0,20.0,0.0,0.0,0.0
2014,0.0,0.0,80,18.8,36.3,26.3,17.5,1.3,0.0
2014,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,0.0,25,8.0,24.0,40.0,28.0,0.0,0.0
2014,0.0,0.0,48,16.7,47.9,33.3,2.1,0.0,0.0
2014,0.0,1.9,28,10.7,17.9,35.7,32.1,3.6,0.0
2014,0.8,0.0,52,9.6,46.2,40.4,1.9,0.0,1.9
2014,0.0,0.6,94,10.6,36.2,29.8,23.4,0.0,0.0
2014,0.0,0.5,100,18.0,39.0,31.0,12.0,0.0,0.0
2014,0.4,0.0,135,12.6,28.1,31.9,27.4,0.0,0.0
2014,0.0,0.0,91,11.0,58.2,27.5,3.3,0.0,0.0
2014,0.0,1.1,56,16.1,28.6,35.7,19.6,0.0,0.0
2014,0.0,0.0,53,5.7,28.3,52.8,13.2,0.0,0.0
2014,0.0,0.5,63,3.2,41.3,34.9,20.6,0.0,0.0
2014,2.6,0.0,33,12.1,33.3,33.3,21.2,0.0,0.0
2014,0.0,3.0,19,10.5,63.2,26.3,0.0,0.0,0.0
2014,0.4,0.0,103,10.7,35.0,30.1,24.3,0.0,0.0
2014,0.0,2.0,34,11.8,17.6,32.4,38.2,0.0,0.0
2014,0.9,1.7,109,11.0,22.0,36.7,26.6,0.0,1.8
2014,0.0,0.0,58,8.6,20.7,27.6,43.1,0.0,0.0
2014,0.0,1.0,47,6.4,59.6,23.4,10.6,0.0,0.0
2014,1.3,1.3,40,2.5,17.5,37.5,37.5,0.0,2.5
2014,0.0,0.0,52,5.8,26.9,34.6,32.7,0.0,0.0
2014,0.0,1.5,86,15.1,39.5,29.1,14.0,1.2,0.0
2014,0.0,0.0,159,17.6,56.0,25.2,0.6,0.6,0.0
2014,0.0,0.0,107,15.0,37.4,31.8,15.9,0.0,0.0
2014,0.0,1.0,41,24.4,26.8,22.0,22.0,2.4,0.0
2014,0.0,0.0,82,11.0,22.0,20.7,46.3,0.0,0.0
2014,0.0,1.3,150,17.3,61.3,16.7,3.3,0.0,0.0
2014,0.0,0.0,30,6.7,30.0,33.3,30.0,0.0,0.0
2014,0.0,0.0,14,21.4,28.6,14.3,35.7,0.0,0.0
2014,0.0,0.0,93,17.2,54.8,25.8,2.2,0.0,0.0
2014,2.3,0.8,65,12.3,23.1,27.7,35.4,0.0,0.0
2014,0.0,0.0,134,17.2,44.8,23.9,14.2,0.0,0.0
2014,0.0,0.0,94,5.3,27.7,51.1,16.0,0.0,0.0
2014,0.0,0.0,43,4.7,27.9,25.6,41.9,0.0,0.0
2014,0.0,0.0,26,11.5,57.7,19.2,11.5,0.0,0.0
2014,0.0,0.0,49,10.2,24.5,36.7,28.6,0.0,0.0
2014,0.0,0.0,82,17.1,37.8,30.5,14.6,0.0,0.0
2014,0.0,0.0,23,13.0,34.8,17.4,34.8,0.0,0.0
2014,0.0,0.0,9,0.0,11.1,55.6,33.3,0.0,0.0
2014,0.8,0.8,70,17.1,20.0,35.7,25.7,0.0,1.4
2014,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,0.0,80,15.0,36.3,32.5,16.3,0.0,0.0
2014,0.6,0.6,78,14.1,33.3,32.1,20.5,0.0,0.0
2014,0.0,0.8,46,8.7,26.1,41.3,21.7,0.0,0.0
2014,1.6,0.0,128,16.4,25.8,25.8,30.5,0.0,1.6
2014,0.0,0.3,129,11.6,33.3,41.9,10.1,2.3,0.0
2014,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.5,0.5,109,7.3,32.1,32.1,27.5,0.0,0.9
2014,3.1,1.3,120,8.3,15.8,28.3,41.7,0.0,4.2
2014,1.5,0.0,62,11.3,25.8,25.8,35.5,0.0,1.6
2014,8.1,0.0,27,11.1,18.5,14.8,48.1,0.0,7.4
2014,0.0,0.0,55,10.9,29.1,41.8,18.2,0.0,0.0
2014,0.0,1.8,64,14.1,23.4,25.0,35.9,0.0,0.0
2014,0.0,0.7,103,12.6,28.2,33.0,24.3,0.0,0.0
2014,0.0,4.0,48,10.4,27.1,41.7,18.8,0.0,0.0
2014,0.0,4.0,12,8.3,41.7,33.3,16.7,0.0,0.0
2014,0.5,0.9,100,8.0,30.0,33.0,27.0,0.0,1.0
2014,0.8,1.7,58,12.1,17.2,36.2,31.0,0.0,1.7
2014,0.0,2.9,36,8.3,16.7,36.1,36.1,0.0,0.0
2014,0.0,1.4,44,9.1,20.5,36.4,31.8,0.0,0.0
2014,0.0,2.4,51,9.8,27.5,17.6,43.1,0.0,0.0
2014,1.3,0.6,84,15.5,25.0,28.6,28.6,0.0,1.2
2014,0.7,1.3,86,12.8,20.9,23.3,39.5,0.0,1.2
2014,0.0,1.1,22,13.6,22.7,31.8,31.8,0.0,0.0
2014,0.0,0.0,16,6.3,31.3,31.3,31.3,0.0,0.0
2014,0.0,0.0,35,11.4,34.3,31.4,22.9,0.0,0.0
2014,0.0,0.0,45,17.8,15.6,44.4,22.2,0.0,0.0
2014,0.0,11.1,47,8.5,27.7,38.3,23.4,0.0,0.0
2014,0.0,0.0,25,16.0,40.0,24.0,20.0,0.0,0.0
2014,0.0,2.2,53,11.3,37.7,34.0,13.2,0.0,0.0
2014,0.0,0.0,103,15.5,40.8,19.4,24.3,0.0,0.0
2014,0.0,0.0,23,26.1,39.1,26.1,8.7,0.0,0.0
2014,0.0,0.5,110,10.9,36.4,38.2,14.5,0.0,0.0
2014,4.6,0.0,24,4.2,20.8,16.7,58.3,0.0,0.0
2014,0.0,0.0,21,9.5,23.8,38.1,23.8,4.8,0.0
2014,2.3,1.2,47,0.0,10.6,19.1,66.0,0.0,4.3
2014,0.4,0.9,119,10.1,36.1,27.7,25.2,0.0,0.8
2014,0.0,0.0,48,0.0,31.3,33.3,35.4,0.0,0.0
2014,0.0,0.0,34,14.7,38.2,23.5,23.5,0.0,0.0
2014,0.0,0.0,33,12.1,63.6,21.2,3.0,0.0,0.0
2014,0.0,0.0,44,15.9,27.3,20.5,36.4,0.0,0.0
2014,1.0,1.0,59,10.2,37.3,23.7,27.1,0.0,1.7
2014,0.0,0.0,55,14.5,65.5,16.4,3.6,0.0,0.0
2014,0.6,1.7,98,6.1,27.6,42.9,22.4,0.0,0.0
2014,1.2,0.0,39,10.3,20.5,15.4,51.3,0.0,2.6
2014,0.0,0.6,88,6.8,38.6,33.0,20.5,0.0,0.0
2014,1.2,0.0,88,9.1,28.4,30.7,31.8,0.0,0.0
2014,2.9,1.0,38,5.3,13.2,28.9,47.4,0.0,5.3
2014,0.4,0.4,116,3.4,25.0,47.4,24.1,0.0,0.0
2014,0.0,0.0,27,3.7,25.9,18.5,51.9,0.0,0.0
2014,0.0,0.8,52,11.5,40.4,42.3,5.8,0.0,0.0
2014,0.0,1.2,41,0.0,14.6,31.7,51.2,0.0,0.0
2014,0.0,0.0,46,8.7,32.6,41.3,17.4,0.0,0.0
2014,0.0,0.0,12,8.3,41.7,25.0,25.0,0.0,0.0
2014,0.3,0.3,195,7.2,30.3,28.7,33.3,0.0,0.5
2014,2.2,0.0,211,4.3,22.7,24.6,45.5,0.0,2.8
2014,0.0,0.0,52,5.8,21.2,32.7,40.4,0.0,0.0
2014,0.0,0.7,77,6.5,33.8,31.2,27.3,0.0,0.0
2014,0.0,0.0,65,13.8,32.3,27.7,26.2,0.0,0.0
2014,0.0,0.0,25,8.0,32.0,48.0,12.0,0.0,0.0
2014,1.1,0.0,100,8.0,20.0,37.0,33.0,0.0,2.0
2014,0.0,0.0,93,14.0,36.6,30.1,19.4,0.0,0.0
2014,0.0,0.7,136,14.0,59.6,21.3,4.4,0.0,0.0
2014,0.0,1.3,38,15.8,42.1,28.9,13.2,0.0,0.0
2014,0.0,0.0,43,11.6,20.9,34.9,30.2,2.3,0.0
2014,3.3,0.4,130,11.5,15.4,28.5,40.8,0.0,3.8
2014,0.7,0.7,150,10.7,21.3,35.3,30.7,0.0,0.7
2014,0.0,0.0,19,5.3,36.8,36.8,21.1,0.0,0.0
2014,0.0,0.0,57,17.5,29.8,35.1,17.5,0.0,0.0
2014,0.0,0.0,25,8.0,24.0,32.0,36.0,0.0,0.0
2014,0.0,0.0,79,5.1,29.1,46.8,19.0,0.0,0.0
2014,0.0,0.0,34,5.9,29.4,35.3,29.4,0.0,0.0
2014,1.7,1.7,37,16.2,21.6,18.9,37.8,0.0,2.7
